"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"48","Timp3","TIMP3",7078,"TIMP metallopeptidase inhibitor 3"
"49","Palld","PALLD",23022,"palladin, cytoskeletal associated protein"
"50","Cnn2","CNN2",1265,"calponin 2"
"51","Col4a1","COL4A1",1282,"collagen type IV alpha 1 chain"
"52","Ace2","ACE2",59272,"angiotensin converting enzyme 2"
"53","Col4a2","COL4A2",1284,"collagen type IV alpha 2 chain"
"54","Vstm4","VSTM4",196740,"V-set and transmembrane domain containing 4"
"55","Dcdc2a","DCDC2",51473,"doublecortin domain containing 2"
"56","Aspn","ASPN",54829,"asporin"
"57","Hrct1","HRCT1",646962,"histidine rich carboxyl terminus 1"
"58","Cmbl","CMBL",134147,"carboxymethylenebutenolidase homolog"
"59","Gng11","GNG11",2791,"G protein subunit gamma 11"
"60","Islr","ISLR",3671,"immunoglobulin superfamily containing leucine rich repeat"
"61","Flna","FLNA",2316,"filamin A"
"62","Pgf","PGF",5228,"placental growth factor"
"63","Col15a1","COL15A1",1306,"collagen type XV alpha 1 chain"
"64","Plxdc2","PLXDC2",84898,"plexin domain containing 2"
"65","Aoc3","AOC3",8639,"amine oxidase copper containing 3"
"66","Ogn","OGN",4969,"osteoglycin"
"67","Igfbp6","IGFBP6",3489,"insulin like growth factor binding protein 6"
"68","Tbx18","TBX18",9096,"T-box transcription factor 18"
"69","Sod3","SOD3",6649,"superoxide dismutase 3"
"70","Gjb6","GJB6",10804,"gap junction protein beta 6"
"71","Esam","ESAM",90952,"endothelial cell adhesion molecule"
"72","Lum","LUM",4060,"lumican"
"73","Slc13a3","SLC13A3",64849,"solute carrier family 13 member 3"
"74","Art3","ART3",419,"ADP-ribosyltransferase 3 (inactive)"
"75","Osr1","OSR1",130497,"odd-skipped related transcription factor 1"
"76","Ginm1","GINM1",116254,"glycoprotein integral membrane 1"
"77","Laptm4a","LAPTM4A",9741,"lysosomal protein transmembrane 4 alpha"
"78","Actb","ACTB",60,"actin beta"
"79","Igfbp2","IGFBP2",3485,"insulin like growth factor binding protein 2"
"80","Tagln","TAGLN",6876,"transgelin"
"81","Cd81","CD81",975,"CD81 molecule"
"82","Cald1","CALD1",800,"caldesmon 1"
"83","Pcolce","PCOLCE",5118,"procollagen C-endopeptidase enhancer"
"84","Anxa5","ANXA5",308,"annexin A5"
"85","Lama4","LAMA4",3910,"laminin subunit alpha 4"
"86","Ccnd2","CCND2",894,"cyclin D2"
"87","Tns2","TNS2",23371,"tensin 2"
"88","Hrc","HRC",3270,"histidine rich calcium binding protein"
"89","Dmd","DMD",1756,"dystrophin"
"90","Mustn1","MUSTN1",389125,"musculoskeletal, embryonic nuclear protein 1"
"91","Ggt5","GGT5",2687,"gamma-glutamyltransferase 5"
"92","Aldh2","ALDH2",217,"aldehyde dehydrogenase 2 family member"
"93","Fzd2","FZD2",2535,"frizzled class receptor 2"
"94","Pde1a","PDE1A",5136,"phosphodiesterase 1A"
"95","Enpep","ENPEP",2028,"glutamyl aminopeptidase"
"96","Cd248","CD248",57124,"CD248 molecule"
"97","Dcn","DCN",1634,"decorin"
"98","Igf1","IGF1",3479,"insulin like growth factor 1"
"99","Sorbs2","SORBS2",8470,"sorbin and SH3 domain containing 2"
"100","Egflam","EGFLAM",133584,"EGF like, fibronectin type III and laminin G domains"
"101","Rbp1","RBP1",5947,"retinol binding protein 1"
"102","Alcam","ALCAM",214,"activated leukocyte cell adhesion molecule"
"103","Igfbp7","IGFBP7",3490,"insulin like growth factor binding protein 7"
"104","Serpind1","SERPIND1",3053,"serpin family D member 1"
"105","Phldb2","PHLDB2",90102,"pleckstrin homology like domain family B member 2"
"106","Pcdh18","PCDH18",54510,"protocadherin 18"
"107","Nudt4","NUDT4",11163,"nudix hydrolase 4"
"108","Serpinh1","SERPINH1",871,"serpin family H member 1"
"109","C1qtnf2","C1QTNF2",114898,"C1q and TNF related 2"
"110","Omd","OMD",4958,"osteomodulin"
"111","Actn1","ACTN1",87,"actinin alpha 1"
"112","Crip1","CRIP1",1396,"cysteine rich protein 1"
"113","Cd151","CD151",977,"CD151 molecule (Raph blood group)"
"114","Sparcl1","SPARCL1",8404,"SPARC like 1"
"115","Cyba","CYBA",1535,"cytochrome b-245 alpha chain"
"116","Aebp1","AEBP1",165,"AE binding protein 1"
"117","Rbpms","RBPMS",11030,"RNA binding protein, mRNA processing factor"
"118","Mmp14","MMP14",4323,"matrix metallopeptidase 14"
"119","Errfi1","ERRFI1",54206,"ERBB receptor feedback inhibitor 1"
"120","Sdc2","SDC2",6383,"syndecan 2"
"121","Efemp1","EFEMP1",2202,"EGF containing fibulin extracellular matrix protein 1"
"122","Gjb2","GJB2",2706,"gap junction protein beta 2"
"123","Itga1","ITGA1",3672,"integrin subunit alpha 1"
"124","Slc16a12","SLC16A12",387700,"solute carrier family 16 member 12"
"125","Sncg","SNCG",6623,"synuclein gamma"
"126","Bcam","BCAM",4059,"basal cell adhesion molecule (Lutheran blood group)"
"127","Tm4sf1","TM4SF1",4071,"transmembrane 4 L six family member 1"
"128","Ackr3","ACKR3",57007,"atypical chemokine receptor 3"
"129","Rasgrp2","RASGRP2",10235,"RAS guanyl releasing protein 2"
"130","Perp","PERP",64065,"p53 apoptosis effector related to PMP22"
"131","Rasl12","RASL12",51285,"RAS like family 12"
"132","Gsn","GSN",2934,"gelsolin"
"133","Gja4","GJA4",2701,"gap junction protein alpha 4"
"134","Epas1","EPAS1",2034,"endothelial PAS domain protein 1"
"135","Rarres2","RARRES2",5919,"retinoic acid receptor responder 2"
"136","Anpep","ANPEP",290,"alanyl aminopeptidase, membrane"
"137","Hlf","HLF",3131,"HLF transcription factor, PAR bZIP family member"
"138","Zfhx3","ZFHX3",463,"zinc finger homeobox 3"
"139","Vtn","VTN",7448,"vitronectin"
"140","Ptgds","PTGDS",5730,"prostaglandin D2 synthase"
"141","Fstl1","FSTL1",11167,"follistatin like 1"
"142","Nr2f2","NR2F2",7026,"nuclear receptor subfamily 2 group F member 2"
"143","Itgb1","ITGB1",3688,"integrin subunit beta 1"
"144","Tpm1","TPM1",7168,"tropomyosin 1"
"145","Lbh","LBH",81606,"LBH regulator of WNT signaling pathway"
"146","Serping1","SERPING1",710,"serpin family G member 1"
"147","Crip2","CRIP2",1397,"cysteine rich protein 2"
"148","Gpc3","GPC3",2719,"glypican 3"
"149","Cped1","CPED1",79974,"cadherin like and PC-esterase domain containing 1"
"150","Wtip","WTIP",126374,"WT1 interacting protein"
"151","Hspb2","HSPB2",3316,"heat shock protein family B (small) member 2"
"152","Hspb2","HSPB2-C11orf52",NA,""
"153","Gpx8","GPX8",493869,"glutathione peroxidase 8 (putative)"
"154","Tgfb1i1","TGFB1I1",7041,"transforming growth factor beta 1 induced transcript 1"
"155","Hspb1","HSPB1",3315,"heat shock protein family B (small) member 1"
"156","Ptn","PTN",5764,"pleiotrophin"
"157","Emp3","EMP3",2014,"epithelial membrane protein 3"
"158","Serpinf1","SERPINF1",5176,"serpin family F member 1"
"159","Pdlim3","PDLIM3",27295,"PDZ and LIM domain 3"
"160","Cp","CP",1356,"ceruloplasmin"
"161","Gypc","GYPC",2995,"glycophorin C (Gerbich blood group)"
"162","Abcc9","ABCC9",10060,"ATP binding cassette subfamily C member 9"
"163","Rcn3","RCN3",57333,"reticulocalbin 3"
"164","Wls","WLS",79971,"Wnt ligand secretion mediator"
"165","Vim","VIM",7431,"vimentin"
"166","Rgs4","RGS4",5999,"regulator of G protein signaling 4"
"167","Adap2","ADAP2",55803,"ArfGAP with dual PH domains 2"
"168","Eva1b","EVA1B",55194,"eva-1 homolog B"
"169","Myh11","MYH11",4629,"myosin heavy chain 11"
"170","Mcam","MCAM",4162,"melanoma cell adhesion molecule"
"171","Casq2","CASQ2",845,"calsequestrin 2"
"172","Wnt4","WNT4",54361,"Wnt family member 4"
"173","Angpt2","ANGPT2",285,"angiopoietin 2"
"174","Id3","ID3",3399,"inhibitor of DNA binding 3, HLH protein"
"175","Tinagl1","TINAGL1",64129,"tubulointerstitial nephritis antigen like 1"
"176","Limd1","LIMD1",8994,"LIM domain containing 1"
"177","Filip1l","FILIP1L",11259,"filamin A interacting protein 1 like"
"178","Crabp2","CRABP2",1382,"cellular retinoic acid binding protein 2"
"179","Cd63","CD63",967,"CD63 molecule"
"180","Slc38a11","SLC38A11",151258,"solute carrier family 38 member 11"
"181","Nupr1","NUPR1",26471,"nuclear protein 1, transcriptional regulator"
"182","Notch3","NOTCH3",4854,"notch receptor 3"
"183","Des","DES",1674,"desmin"
"184","Actn4","ACTN4",81,"actinin alpha 4"
"185","Arhgap29","ARHGAP29",9411,"Rho GTPase activating protein 29"
"186","Ndufa4l2","NDUFA4L2",56901,"NDUFA4 mitochondrial complex associated like 2"
"187","Gper1","GPER1",2852,"G protein-coupled estrogen receptor 1"
"188","Lama2","LAMA2",3908,"laminin subunit alpha 2"
"189","Foxd1","FOXD1",2297,"forkhead box D1"
"190","Lims1","LIMS4",100288695,"LIM zinc finger domain containing 4"
"191","Lims1","LIMS3",96626,"LIM zinc finger domain containing 3"
"192","Atp1a2","ATP1A2",477,"ATPase Na+/K+ transporting subunit alpha 2"
"193","Lmna","LMNA",4000,"lamin A/C"
"194","Slc6a20a","SLC6A20",54716,"solute carrier family 6 member 20"
"195","Gm13889","C11orf96",387763,"chromosome 11 open reading frame 96"
"196","Crispld2","CRISPLD2",83716,"cysteine rich secretory protein LCCL domain containing 2"
"197","Atp13a5","ATP13A5",344905,"ATPase 13A5"
"198","Ecm2","ECM2",1842,"extracellular matrix protein 2"
"199","Apold1","APOLD1",81575,"apolipoprotein L domain containing 1"
"200","Higd1b","HIGD1B",51751,"HIG1 hypoxia inducible domain family member 1B"
"201","Lrrc32","LRRC32",2615,"leucine rich repeat containing 32"
"202","Mylk","MYLK",4638,"myosin light chain kinase"
"203","Cxcl12","CXCL12",6387,"C-X-C motif chemokine ligand 12"
"204","Prrx1","PRRX1",5396,"paired related homeobox 1"
"205","Arhgdib","ARHGDIB",397,"Rho GDP dissociation inhibitor beta"
"206","Acta2","ACTA2",59,"actin alpha 2, smooth muscle"
"207","Nbl1","NBL1",100532736,"MICOS10-NBL1 readthrough"
"208","Nbl1","NBL1",4681,"NBL1, DAN family BMP antagonist"
"209","Nid1","NID1",4811,"nidogen 1"
"210","Col3a1","COL3A1",1281,"collagen type III alpha 1 chain"
"211","Plat","PLAT",5327,"plasminogen activator, tissue type"
"212","Nexn","NEXN",91624,"nexilin F-actin binding protein"
"213","Olfr558","OR51E1",143503,"olfactory receptor family 51 subfamily E member 1"
"214","Isyna1","ISYNA1",51477,"inositol-3-phosphate synthase 1"
"215","Lmod1","LMOD1",25802,"leiomodin 1"
"216","Tagln2","TAGLN2",8407,"transgelin 2"
"217","S100a11","S100A11",6282,"S100 calcium binding protein A11"
"218","Myl6","MYL6",4637,"myosin light chain 6"
"219","Spp1","SPP1",6696,"secreted phosphoprotein 1"
"220","Nudt4","NUDT4B",440672,"nudix hydrolase 4B"
"221","Phlda1","PHLDA1",22822,"pleckstrin homology like domain family A member 1"
"222","Lamb2","LAMB2",3913,"laminin subunit beta 2"
"223","Kcnj8","KCNJ8",3764,"potassium inwardly rectifying channel subfamily J member 8"
"224","Il34","IL34",146433,"interleukin 34"
"225","Mfge8","MFGE8",4240,"milk fat globule EGF and factor V/VIII domain containing"
"226","Sparc","SPARC",6678,"secreted protein acidic and cysteine rich"
"227","Col1a2","COL1A2",1278,"collagen type I alpha 2 chain"
"228","Slc22a8","SLC22A8",9376,"solute carrier family 22 member 8"
"229","Tns1","TNS1",7145,"tensin 1"
"230","Slc13a4","SLC13A4",26266,"solute carrier family 13 member 4"
"231","Pbxip1","PBXIP1",57326,"PBX homeobox interacting protein 1"
"232","Col1a1","COL1A1",1277,"collagen type I alpha 1 chain"
"233","Lamc1","LAMC1",3915,"laminin subunit gamma 1"
"234","Axl","AXL",558,"AXL receptor tyrosine kinase"
"235","Cnn1","CNN1",1264,"calponin 1"
"236","Ppp1r14a","PPP1R14A",94274,"protein phosphatase 1 regulatory inhibitor subunit 14A"
"237","4930523C07Rik","KIAA0040",9674,"KIAA0040"
"238","Myo1b","MYO1B",4430,"myosin IB"
"239","Prelp","PRELP",5549,"proline and arginine rich end leucine rich repeat protein"
"240","Mgp","MGP",4256,"matrix Gla protein"
"241","Fmod","FMOD",2331,"fibromodulin"
"242","Pdgfrb","PDGFRB",5159,"platelet derived growth factor receptor beta"
"243","Pcp4l1","PCP4L1",654790,"Purkinje cell protein 4 like 1"
"244","Gjc1","GJC1",10052,"gap junction protein gamma 1"
"245","P2ry14","P2RY14",9934,"purinergic receptor P2Y14"
"246","B2m","B2M",567,"beta-2-microglobulin"
"247","Ano1","ANO1",55107,"anoctamin 1"
"248","Cdkn1c","CDKN1C",1028,"cyclin dependent kinase inhibitor 1C"
"249","Mef2c","MEF2C",4208,"myocyte enhancer factor 2C"
"250","Pth1r","PTH1R",5745,"parathyroid hormone 1 receptor"
"251","Ranbp3l","RANBP3L",202151,"RAN binding protein 3 like"
"252","Nes","NES",10763,"nestin"
"253","Fcgrt","FCGRT",2217,"Fc fragment of IgG receptor and transporter"
"254","Rbp4","RBP4",5950,"retinol binding protein 4"
"255","Apod","APOD",347,"apolipoprotein D"
"256","Slc22a6","SLC22A6",9356,"solute carrier family 22 member 6"
"257","Rcsd1","RCSD1",92241,"RCSD domain containing 1"
"258","Utrn","UTRN",7402,"utrophin"
"259","Tmem45a","TMEM45A",55076,"transmembrane protein 45A"
"260","Rgs5","RGS5",8490,"regulator of G protein signaling 5"
"261","Heyl","HEYL",26508,"hes related family bHLH transcription factor with YRPW motif like"
