"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"191","Baiap2","BAIAP2",10458,"BAR/IMD domain containing adaptor protein 2"
"192","Adcy5","ADCY5",111,"adenylate cyclase 5"
"193","Ankrd13b","ANKRD13B",124930,"ankyrin repeat domain 13B"
"194","Celsr2","CELSR2",1952,"cadherin EGF LAG seven-pass G-type receptor 2"
"195","Fam131c","FAM131C",348487,"family with sequence similarity 131 member C"
"196","Asgr1","ASGR1",432,"asialoglycoprotein receptor 1"
"197","Lbx1","LBX1",10660,"ladybird homeobox 1"
"198","Bzw2","BZW2",28969,"basic leucine zipper and W2 domains 2"
"199","Ahcyl2","AHCYL2",23382,"adenosylhomocysteinase like 2"
"200","Tnr","TNR",7143,"tenascin R"
"201","Ly6h","LY6H",4062,"lymphocyte antigen 6 family member H"
"202","Cacna1d","CACNA1D",776,"calcium voltage-gated channel subunit alpha1 D"
"203","Efr3a","EFR3A",23167,"EFR3 homolog A"
"204","Mgat5b","MGAT5B",146664,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B"
"205","Elavl4","ELAVL4",1996,"ELAV like RNA binding protein 4"
"206","Msi2","MSI2",124540,"musashi RNA binding protein 2"
"207","Sez6","SEZ6",124925,"seizure related 6 homolog"
"208","Tbc1d30","TBC1D30",23329,"TBC1 domain family member 30"
"209","Ndrg4","NDRG4",65009,"NDRG family member 4"
"210","Hpca","HPCA",3208,"hippocalcin"
"211","Myt1l","MYT1L",23040,"myelin transcription factor 1 like"
"212","Atp2c1","ATP2C1",27032,"ATPase secretory pathway Ca2+ transporting 1"
"213","Clip4","CLIP4",79745,"CAP-Gly domain containing linker protein family member 4"
"214","Inpp4b","INPP4B",8821,"inositol polyphosphate-4-phosphatase type II B"
"215","Trim67","TRIM67",440730,"tripartite motif containing 67"
"216","Epha8","EPHA8",2046,"EPH receptor A8"
"217","Nav1","NAV1",89796,"neuron navigator 1"
"218","Eml2","EML2",24139,"EMAP like 2"
"219","Kcna2","KCNA2",3737,"potassium voltage-gated channel subfamily A member 2"
"220","Cdh1","CDH1",999,"cadherin 1"
"221","Abat","ABAT",18,"4-aminobutyrate aminotransferase"
"222","Dusp10","DUSP10",11221,"dual specificity phosphatase 10"
"223","Ephb2","EPHB2",2048,"EPH receptor B2"
"224","Lhx5","LHX5",64211,"LIM homeobox 5"
"225","Wfs1","WFS1",7466,"wolframin ER transmembrane glycoprotein"
"226","Shisa6","SHISA6",388336,"shisa family member 6"
"227","Igsf3","IGSF3",3321,"immunoglobulin superfamily member 3"
"228","Elmo1","ELMO1",9844,"engulfment and cell motility 1"
"229","Adam11","ADAM11",4185,"ADAM metallopeptidase domain 11"
"230","Pam","PAM",5066,"peptidylglycine alpha-amidating monooxygenase"
"231","Gad1","GAD1",2571,"glutamate decarboxylase 1"
"232","Cnr1","CNR1",1268,"cannabinoid receptor 1"
"233","Kcng4","KCNG4",93107,"potassium voltage-gated channel modifier subfamily G member 4"
"234","Efna5","EFNA5",1946,"ephrin A5"
"235","4930523C07Rik","KIAA0040",9674,"KIAA0040"
"236","Cygb","CYGB",114757,"cytoglobin"
"237","Agl","AGL",178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
"238","Coro6","CORO6",84940,"coronin 6"
"239","Ackr4","ACKR4",51554,"atypical chemokine receptor 4"
"240","Slc24a2","SLC24A2",25769,"solute carrier family 24 member 2"
"241","Adgrl3","ADGRL3",23284,"adhesion G protein-coupled receptor L3"
"242","Sv2a","SV2A",9900,"synaptic vesicle glycoprotein 2A"
"243","Kcnab3","KCNAB3",9196,"potassium voltage-gated channel subfamily A regulatory beta subunit 3"
"244","Tmem106b","TMEM106B",54664,"transmembrane protein 106B"
"245","Anks1b","ANKS1B",56899,"ankyrin repeat and sterile alpha motif domain containing 1B"
"246","Vstm2b","VSTM2B",342865,"V-set and transmembrane domain containing 2B"
"247","Fam43b","FAM43B",163933,"family with sequence similarity 43 member B"
"248","Homer3","HOMER3",9454,"homer scaffold protein 3"
"249","Pbx1","PBX1",5087,"PBX homeobox 1"
"250","Kcnd3","KCND3",3752,"potassium voltage-gated channel subfamily D member 3"
"251","B3galt2","B3GALT2",8707,"beta-1,3-galactosyltransferase 2"
"252","Camk1g","CAMK1G",57172,"calcium/calmodulin dependent protein kinase IG"
"253","Bcan","BCAN",63827,"brevican"
"254","Apba2","APBA2",321,"amyloid beta precursor protein binding family A member 2"
"255","Arhgap32","ARHGAP32",9743,"Rho GTPase activating protein 32"
"256","Rap1gap","RAP1GAP",5909,"RAP1 GTPase activating protein"
"257","Nsg1","NSG1",27065,"neuronal vesicle trafficking associated 1"
"258","Wdr6","WDR6",11180,"WD repeat domain 6"
"259","Kcnh2","KCNH2",3757,"potassium voltage-gated channel subfamily H member 2"
"260","Plekha6","PLEKHA6",22874,"pleckstrin homology domain containing A6"
"261","Lhfpl3","LHFPL3",375612,"LHFPL tetraspan subfamily member 3"
"262","Mpp7","MPP7",143098,"membrane palmitoylated protein 7"
"263","Fndc5","FNDC5",252995,"fibronectin type III domain containing 5"
"264","Ttbk2","TTBK2",146057,"tau tubulin kinase 2"
"265","Kit","KIT",3815,"KIT proto-oncogene, receptor tyrosine kinase"
"266","Grin2b","GRIN2B",2904,"glutamate ionotropic receptor NMDA type subunit 2B"
"267","Cd59a","CD59",966,"CD59 molecule (CD59 blood group)"
"268","Uhmk1","UHMK1",127933,"U2AF homology motif kinase 1"
"269","Rassf8","RASSF8",11228,"Ras association domain family member 8"
"270","Acly","ACLY",47,"ATP citrate lyase"
"271","Hpcal4","HPCAL4",51440,"hippocalcin like 4"
"272","Atp1b1","ATP1B1",481,"ATPase Na+/K+ transporting subunit beta 1"
"273","Pkp4","PKP4",8502,"plakophilin 4"
"274","Cmip","CMIP",80790,"c-Maf inducing protein"
"275","Cttnbp2","CTTNBP2",83992,"cortactin binding protein 2"
"276","Nceh1","NCEH1",57552,"neutral cholesterol ester hydrolase 1"
"277","Csmd1","CSMD1",64478,"CUB and Sushi multiple domains 1"
"278","Dcaf7","DCAF7",10238,"DDB1 and CUL4 associated factor 7"
"279","Rnf157","RNF157",114804,"ring finger protein 157"
"280","Camk2n1","CAMK2N1",55450,"calcium/calmodulin dependent protein kinase II inhibitor 1"
"281","Phactr2","PHACTR2",9749,"phosphatase and actin regulator 2"
"282","Adgrb1","ADGRB1",575,"adhesion G protein-coupled receptor B1"
"283","Dlg4","DLG4",1742,"discs large MAGUK scaffold protein 4"
"284","Adamts15","ADAMTS15",170689,"ADAM metallopeptidase with thrombospondin type 1 motif 15"
"285","Thsd7a","THSD7A",221981,"thrombospondin type 1 domain containing 7A"
"286","Prkcg","PRKCG",5582,"protein kinase C gamma"
"287","Shank2","SHANK2",22941,"SH3 and multiple ankyrin repeat domains 2"
"288","Kcnc4","KCNC4",3749,"potassium voltage-gated channel subfamily C member 4"
"289","Aatk","AATK",9625,"apoptosis associated tyrosine kinase"
"290","Erc2","ERC2",26059,"ELKS/RAB6-interacting/CAST family member 2"
"291","Gabrg2","GABRG2",2566,"gamma-aminobutyric acid type A receptor subunit gamma2"
"292","Cabp1","CABP1",9478,"calcium binding protein 1"
"293","Plch1","PLCH1",23007,"phospholipase C eta 1"
"294","Ntn1","NTN1",9423,"netrin 1"
"295","Nrip3","NRIP3",56675,"nuclear receptor interacting protein 3"
"296","Slc20a1","SLC20A1",6574,"solute carrier family 20 member 1"
"297","Esrrg","ESRRG",2104,"estrogen related receptor gamma"
"298","Grin2d","GRIN2D",2906,"glutamate ionotropic receptor NMDA type subunit 2D"
"299","Lypd6","LYPD6",130574,"LY6/PLAUR domain containing 6"
"300","Dpy19l1","DPY19L1",23333,"dpy-19 like C-mannosyltransferase 1"
"301","Map4","MAP4",4134,"microtubule associated protein 4"
"302","Scn8a","SCN8A",6334,"sodium voltage-gated channel alpha subunit 8"
"303","Rbms1","RBMS1",5937,"RNA binding motif single stranded interacting protein 1"
"304","Rcan2","RCAN2",10231,"regulator of calcineurin 2"
"305","Nlgn1","NLGN1",22871,"neuroligin 1"
"306","Neurod6","NEUROD6",63974,"neuronal differentiation 6"
"307","Pygo1","PYGO1",26108,"pygopus family PHD finger 1"
"308","Fgf11","FGF11",2256,"fibroblast growth factor 11"
"309","Stac2","STAC2",342667,"SH3 and cysteine rich domain 2"
"310","Serpini1","SERPINI1",5274,"serpin family I member 1"
"311","Trpc7","TRPC7",57113,"transient receptor potential cation channel subfamily C member 7"
"312","Nos1","NOS1",4842,"nitric oxide synthase 1"
"313","Vav3","VAV3",10451,"vav guanine nucleotide exchange factor 3"
"314","Lrrn2","LRRN2",10446,"leucine rich repeat neuronal 2"
"315","Eml5","EML5",161436,"EMAP like 5"
"316","Zfp385a","ZNF385A",25946,"zinc finger protein 385A"
"317","Asic2","ASIC2",40,"acid sensing ion channel subunit 2"
"318","Ccdc88a","CCDC88A",55704,"coiled-coil domain containing 88A"
"319","Steap2","STEAP2",261729,"STEAP2 metalloreductase"
"320","Zfp423","ZNF423",23090,"zinc finger protein 423"
"321","Prkcd","PRKCD",5580,"protein kinase C delta"
"322","St8sia1","ST8SIA1",6489,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
"323","Plxna4","PLXNA4",91584,"plexin A4"
