"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"109","Ptgds","PTGDS",5730,"prostaglandin D2 synthase"
"110","Sypl","SYPL1",6856,"synaptophysin like 1"
"111","Tsc22d4","TSC22D4",81628,"TSC22 domain family member 4"
"112","Tmem229a","TMEM229A",730130,"transmembrane protein 229A"
"113","Tmem258","TMEM258",746,"transmembrane protein 258"
"114","Hmgcs1","HMGCS1",3157,"3-hydroxy-3-methylglutaryl-CoA synthase 1"
"115","Nfe2l3","NFE2L3",9603,"nuclear factor, erythroid 2 like 3"
"116","Fscn1","FSCN1",6624,"fascin actin-bundling protein 1"
"117","Enpp2","ENPP2",5168,"ectonucleotide pyrophosphatase/phosphodiesterase 2"
"118","Fbxo32","FBXO32",114907,"F-box protein 32"
"119","Gsn","GSN",2934,"gelsolin"
"120","Aif1l","AIF1L",83543,"allograft inflammatory factor 1 like"
"121","Adipor2","ADIPOR2",79602,"adiponectin receptor 2"
"122","Sox10","SOX10",6663,"SRY-box transcription factor 10"
"123","Adssl1","ADSS1",122622,"adenylosuccinate synthase 1"
"124","Tm7sf3","TM7SF3",51768,"transmembrane 7 superfamily member 3"
"125","Rnf7","RNF7",9616,"ring finger protein 7"
"126","Ccp110","CCP110",9738,"centriolar coiled-coil protein 110"
"127","Cd82","CD82",3732,"CD82 molecule"
"128","Tmem125","TMEM125",128218,"transmembrane protein 125"
"129","Atp1b3","ATP1B3",483,"ATPase Na+/K+ transporting subunit beta 3"
"130","Mog","MOG",4340,"myelin oligodendrocyte glycoprotein"
"131","Polr3e","POLR3E",55718,"RNA polymerase III subunit E"
"132","Tmem151a","TMEM151A",256472,"transmembrane protein 151A"
"133","Ano4","ANO4",121601,"anoctamin 4"
"134","Arpc1b","ARPC1B",10095,"actin related protein 2/3 complex subunit 1B"
"135","Gpr37","GPR37",2861,"G protein-coupled receptor 37"
"136","Slco3a1","SLCO3A1",28232,"solute carrier organic anion transporter family member 3A1"
"137","Leprot","LEPROT",54741,"leptin receptor overlapping transcript"
"138","Plin3","PLIN3",10226,"perilipin 3"
"139","Edil3","EDIL3",10085,"EGF like repeats and discoidin domains 3"
"140","Opalin","OPALIN",93377,"oligodendrocytic myelin paranodal and inner loop protein"
"141","Sh3glb1","SH3GLB1",51100,"SH3 domain containing GRB2 like, endophilin B1"
"142","Plekhh1","PLEKHH1",57475,"pleckstrin homology, MyTH4 and FERM domain containing H1"
"143","Ptn","PTN",5764,"pleiotrophin"
"144","Serinc5","SERINC5",256987,"serine incorporator 5"
"145","Msmo1","MSMO1",6307,"methylsterol monooxygenase 1"
"146","Agpat4","AGPAT4",56895,"1-acylglycerol-3-phosphate O-acyltransferase 4"
"147","Cryab","CRYAB",1410,"crystallin alpha B"
"148","Hepacam","HEPACAM",220296,"hepatic and glial cell adhesion molecule"
"149","Clic4","CLIC4",25932,"chloride intracellular channel 4"
"150","Sulf2","SULF2",55959,"sulfatase 2"
"151","Serpinb1a","SERPINB1",1992,"serpin family B member 1"
"152","Bfsp2","BFSP2",8419,"beaded filament structural protein 2"
"153","Gltp","GLTP",51228,"glycolipid transfer protein"
"154","Arl2","ARL2-SNX15",NA,""
"155","Arl2","ARL2",402,"ADP ribosylation factor like GTPase 2"
"156","Lap3","LAP3",51056,"leucine aminopeptidase 3"
"157","Bpgm","BPGM",669,"bisphosphoglycerate mutase"
"158","Map7","MAP7",9053,"microtubule associated protein 7"
"159","S100a16","S100A16",140576,"S100 calcium binding protein A16"
"160","Ppfibp2","PPFIBP2",8495,"PPFIA binding protein 2"
"161","Olfml1","OLFML1",283298,"olfactomedin like 1"
"162","Rtkn","RTKN",6242,"rhotekin"
"163","Gstm5","GSTM3",2947,"glutathione S-transferase mu 3"
"164","Cd59a","CD59",966,"CD59 molecule (CD59 blood group)"
"165","Sccpdh","SCCPDH",51097,"saccharopine dehydrogenase (putative)"
"166","Aplp1","APLP1",333,"amyloid beta precursor like protein 1"
"167","Prdx1","PRDX1",5052,"peroxiredoxin 1"
"168","Myo6","MYO6",4646,"myosin VI"
"169","Syt11","SYT11",23208,"synaptotagmin 11"
"170","Cdk18","CDK18",5129,"cyclin dependent kinase 18"
"171","Dock10","DOCK10",55619,"dedicator of cytokinesis 10"
"172","Zeb2","ZEB2",9839,"zinc finger E-box binding homeobox 2"
"173","Tmem88b","TMEM88B",643965,"transmembrane protein 88B"
"174","Aatk","AATK",9625,"apoptosis associated tyrosine kinase"
"175","Itgb4","ITGB4",3691,"integrin subunit beta 4"
"176","Arsg","ARSG",22901,"arylsulfatase G"
"177","Adamts4","ADAMTS4",9507,"ADAM metallopeptidase with thrombospondin type 1 motif 4"
"178","Sez6l2","SEZ6L2",26470,"seizure related 6 homolog like 2"
"179","Pllp","PLLP",51090,"plasmolipin"
"180","Dnajb2","DNAJB2",3300,"DnaJ heat shock protein family (Hsp40) member B2"
"181","Cyp51","CYP51A1",1595,"cytochrome P450 family 51 subfamily A member 1"
"182","Gamt","GAMT",2593,"guanidinoacetate N-methyltransferase"
"183","Rap1a","RAP1A",5906,"RAP1A, member of RAS oncogene family"
"184","Rtn4","RTN4",57142,"reticulon 4"
"185","Cntn2","CNTN2",6900,"contactin 2"
"186","Evi2a","EVI2A",2123,"ecotropic viral integration site 2A"
"187","Fah","FAH",2184,"fumarylacetoacetate hydrolase"
"188","Erbb3","ERBB3",2065,"erb-b2 receptor tyrosine kinase 3"
"189","Sema6a","SEMA6A",57556,"semaphorin 6A"
"190","Dpy19l1","DPY19L1",23333,"dpy-19 like C-mannosyltransferase 1"
"191","Hcn2","HCN2",610,"hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2"
"192","Pou3f1","POU3F1",5453,"POU class 3 homeobox 1"
"193","Efcab14","EFCAB14",9813,"EF-hand calcium binding domain 14"
"194","Abca2","ABCA2",20,"ATP binding cassette subfamily A member 2"
"195","Stmn4","STMN4",81551,"stathmin 4"
"196","Gpr62","GPR62",118442,"G protein-coupled receptor 62"
"197","Omg","OMG",101927057,"uncharacterized LOC101927057"
"198","Omg","OMG",4974,"oligodendrocyte myelin glycoprotein"
"199","Il1rap","IL1RAP",3556,"interleukin 1 receptor accessory protein"
"200","Wscd1","WSCD1",23302,"WSC domain containing 1"
"201","Ninj2","NINJ2",4815,"ninjurin 2"
"202","Glod4","GLOD4",51031,"glyoxalase domain containing 4"
"203","Elovl1","ELOVL1",64834,"ELOVL fatty acid elongase 1"
"204","Phgdh","PHGDH",26227,"phosphoglycerate dehydrogenase"
"205","Marcksl1","MARCKSL1",65108,"MARCKS like 1"
"206","Phlda3","PHLDA3",23612,"pleckstrin homology like domain family A member 3"
"207","Rnf13","RNF13",11342,"ring finger protein 13"
"208","Nfasc","NFASC",23114,"neurofascin"
"209","Shisa4","SHISA4",149345,"shisa family member 4"
"210","S1pr5","S1PR5",53637,"sphingosine-1-phosphate receptor 5"
"211","Gpr17","GPR17",2840,"G protein-coupled receptor 17"
"212","Cnp","CNP",1267,"2',3'-cyclic nucleotide 3' phosphodiesterase"
"213","Csrp1","CSRP1",1465,"cysteine and glycine rich protein 1"
"214","Rhou","RHOU",58480,"ras homolog family member U"
"215","Litaf","LITAF",9516,"lipopolysaccharide induced TNF factor"
"216","Arhgef10","ARHGEF10",9639,"Rho guanine nucleotide exchange factor 10"
"217","D7Ertd443e","C10orf90",118611,"chromosome 10 open reading frame 90"
"218","Sox8","SOX8",30812,"SRY-box transcription factor 8"
"219","Pls1","PLS1",5357,"plastin 1"
"220","Kcnj10","KCNJ10",3766,"potassium inwardly rectifying channel subfamily J member 10"
"221","Efhd1","EFHD1",80303,"EF-hand domain family member D1"
"222","Grb14","GRB14",2888,"growth factor receptor bound protein 14"
"223","Gstp1","GSTP1",2950,"glutathione S-transferase pi 1"
"224","Pex5l","PEX5L",51555,"peroxisomal biogenesis factor 5 like"
"225","Ap2a1","AP2A1",160,"adaptor related protein complex 2 subunit alpha 1"
"226","Gjc2","GJC2",57165,"gap junction protein gamma 2"
"227","Phldb1","PHLDB1",23187,"pleckstrin homology like domain family B member 1"
"228","Ttyh2","TTYH2",94015,"tweety family member 2"
"229","Car14","CA14",23632,"carbonic anhydrase 14"
"230","Jam3","JAM3",83700,"junctional adhesion molecule 3"
"231","Sgk1","SGK1",6446,"serum/glucocorticoid regulated kinase 1"
"232","Tnni1","TNNI1",7135,"troponin I1, slow skeletal type"
"233","Tmbim1","TMBIM1",64114,"transmembrane BAX inhibitor motif containing 1"
"234","Tnfaip6","TNFAIP6",7130,"TNF alpha induced protein 6"
"235","Tppp3","TPPP3",51673,"tubulin polymerization promoting protein family member 3"
"236","Cd9","CD9",928,"CD9 molecule"
"237","Pdlim2","PDLIM2",64236,"PDZ and LIM domain 2"
"238","Apod","APOD",347,"apolipoprotein D"
"239","Gstm7","GSTM2",2946,"glutathione S-transferase mu 2"
"240","Stxbp3","STXBP3",6814,"syntaxin binding protein 3"
"241","Glul","GLUL",2752,"glutamate-ammonia ligase"
"242","Tspan2","TSPAN2",10100,"tetraspanin 2"
"243","Smco3","SMCO3",440087,"single-pass membrane protein with coiled-coil domains 3"
"244","Mobp","MOBP",4336,"myelin associated oligodendrocyte basic protein"
"245","Klk6","KLK6",5653,"kallikrein related peptidase 6"
"246","Cers2","CERS2",29956,"ceramide synthase 2"
"247","Cldn11","CLDN11",5010,"claudin 11"
"248","Degs1","DEGS1",8560,"delta 4-desaturase, sphingolipid 1"
"249","Ephb1","EPHB1",2047,"EPH receptor B1"
"250","Tmem132b","TMEM132B",114795,"transmembrane protein 132B"
"251","Ermn","ERMN",57471,"ermin"
"252","Bin1","BIN1",274,"bridging integrator 1"
"253","Arhgef28","ARHGEF28",64283,"Rho guanine nucleotide exchange factor 28"
"254","Ptprd","PTPRD",5789,"protein tyrosine phosphatase receptor type D"
"255","Otud7b","OTUD7B",56957,"OTU deubiquitinase 7B"
"256","Tkt","TKT",7086,"transketolase"
"257","Sirt2","SIRT2",22933,"sirtuin 2"
"258","Qpct","QPCT",25797,"glutaminyl-peptide cyclotransferase"
"259","Nmral1","NMRAL1",57407,"NmrA like redox sensor 1"
"260","Tppp","TPPP",11076,"tubulin polymerization promoting protein"
"261","Smim1","SMIM1",388588,"small integral membrane protein 1 (Vel blood group)"
"262","Timp2","TIMP2",7077,"TIMP metallopeptidase inhibitor 2"
"263","Carhsp1","CARHSP1",23589,"calcium regulated heat stable protein 1"
"264","Padi2","PADI2",11240,"peptidyl arginine deiminase 2"
"265","Aspa","ASPA",443,"aspartoacylase"
"266","Trim59","TRIM59",286827,"tripartite motif containing 59"
"267","Sort1","SORT1",6272,"sortilin 1"
"268","Lgi3","LGI3",203190,"leucine rich repeat LGI family member 3"
"269","Pmp22","PMP22",5376,"peripheral myelin protein 22"
"270","Tmem63a","TMEM63A",9725,"transmembrane protein 63A"
"271","Rhob","RHOB",388,"ras homolog family member B"
"272","Hapln2","HAPLN2",60484,"hyaluronan and proteoglycan link protein 2"
"273","Ddr1","DDR1",780,"discoidin domain receptor tyrosine kinase 1"
"274","Gab1","GAB1",2549,"GRB2 associated binding protein 1"
"275","Trf","TF",7018,"transferrin"
"276","Nipal4","NIPAL4",348938,"NIPA like domain containing 4"
"277","Pcolce2","PCOLCE2",26577,"procollagen C-endopeptidase enhancer 2"
"278","S100a1","S100A1",6271,"S100 calcium binding protein A1"
"279","Ppp1r14a","PPP1R14A",94274,"protein phosphatase 1 regulatory inhibitor subunit 14A"
