"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"71","Gm2a","GM2A",2760,"GM2 ganglioside activator"
"72","Ptprz1","PTPRZ1",5803,"protein tyrosine phosphatase receptor type Z1"
"73","Sema6d","SEMA6D",80031,"semaphorin 6D"
"74","Qk","QKI",9444,"QKI, KH domain containing RNA binding"
"75","Itm2c","ITM2C",81618,"integral membrane protein 2C"
"76","Slc1a2","SLC1A2",6506,"solute carrier family 1 member 2"
"77","Fbxo2","FBXO2",26232,"F-box protein 2"
"78","Ntrk2","NTRK2",4915,"neurotrophic receptor tyrosine kinase 2"
"79","Lcat","LCAT",3931,"lecithin-cholesterol acyltransferase"
"80","Cd81","CD81",975,"CD81 molecule"
"81","Dao","DAO",1610,"D-amino acid oxidase"
"82","Notch1","NOTCH1",4851,"notch receptor 1"
"83","Pygm","PYGM",5837,"glycogen phosphorylase, muscle associated"
"84","Slc4a4","SLC4A4",8671,"solute carrier family 4 member 4"
"85","Rlbp1","RLBP1",6017,"retinaldehyde binding protein 1"
"86","Rgcc","RGCC",28984,"regulator of cell cycle"
"87","Tsc22d4","TSC22D4",81628,"TSC22 domain family member 4"
"88","Pla2g7","PLA2G7",7941,"phospholipase A2 group VII"
"89","Enho","ENHO",375704,"energy homeostasis associated"
"90","S100a10","S100A10",6281,"S100 calcium binding protein A10"
"91","Gstm1","GSTM1",2944,"glutathione S-transferase mu 1"
"92","Agt","AGT",183,"angiotensinogen"
"93","Slc41a1","SLC41A1",254428,"solute carrier family 41 member 1"
"94","Glul","GLUL",2752,"glutamate-ammonia ligase"
"95","Acsl6","ACSL6",23305,"acyl-CoA synthetase long chain family member 6"
"96","Hsd11b1","HSD11B1",3290,"hydroxysteroid 11-beta dehydrogenase 1"
"97","Fxyd1","FXYD1",5348,"FXYD domain containing ion transport regulator 1"
"98","F3","F3",2152,"coagulation factor III, tissue factor"
"99","Ramp1","RAMP1",10267,"receptor activity modifying protein 1"
"100","Atp1a2","ATP1A2",477,"ATPase Na+/K+ transporting subunit alpha 2"
"101","Epha4","EPHA4",2043,"EPH receptor A4"
"102","Acsl3","ACSL3",2181,"acyl-CoA synthetase long chain family member 3"
"103","Slc6a9","SLC6A9",6536,"solute carrier family 6 member 9"
"104","Cd44","CD44",960,"CD44 molecule (Indian blood group)"
"105","Dbi","DBI",1622,"diazepam binding inhibitor, acyl-CoA binding protein"
"106","Gpr37l1","GPR37L1",9283,"G protein-coupled receptor 37 like 1"
"107","Cd63","CD63",967,"CD63 molecule"
"108","Cnn3","CNN3",1266,"calponin 3"
"109","S100a1","S100A1",6271,"S100 calcium binding protein A1"
"110","Cyp26b1","CYP26B1",56603,"cytochrome P450 family 26 subfamily B member 1"
"111","Mt1","MT1G",4495,"metallothionein 1G"
"112","Mdk","MDK",4192,"midkine"
"113","Tprkb","TPRKB",51002,"TP53RK binding protein"
"114","Zbtb20","ZBTB20",26137,"zinc finger and BTB domain containing 20"
"115","Id2","ID2",3398,"inhibitor of DNA binding 2"
"116","Apoe","APOE",348,"apolipoprotein E"
"117","Dmp1","DMP1",1758,"dentin matrix acidic phosphoprotein 1"
"118","S1pr1","S1PR1",1901,"sphingosine-1-phosphate receptor 1"
"119","Pbxip1","PBXIP1",57326,"PBX homeobox interacting protein 1"
"120","Adgrg1","ADGRG1",9289,"adhesion G protein-coupled receptor G1"
"121","Adra2a","ADRA2A",150,"adrenoceptor alpha 2A"
"122","Ccdc88a","CCDC88A",55704,"coiled-coil domain containing 88A"
"123","Tmem52","TMEM52",339456,"transmembrane protein 52"
"124","Bcan","BCAN",63827,"brevican"
"125","Tmie","TMIE",259236,"transmembrane inner ear"
"126","Gfap","GFAP",2670,"glial fibrillary acidic protein"
"127","Aldoc","ALDOC",230,"aldolase, fructose-bisphosphate C"
"128","Sparc","SPARC",6678,"secreted protein acidic and cysteine rich"
"129","Prdx6","PRDX6",9588,"peroxiredoxin 6"
"130","Rdh5","RDH5",5959,"retinol dehydrogenase 5"
"131","Hhatl","HHATL",57467,"hedgehog acyltransferase like"
"132","Ttyh1","TTYH1",57348,"tweety family member 1"
"133","Fam20a","FAM20A",54757,"FAM20A golgi associated secretory pathway pseudokinase"
"134","Serpine2","SERPINE2",5270,"serpin family E member 2"
"135","Angpt1","ANGPT1",284,"angiopoietin 1"
"136","Sox2","SOX2",6657,"SRY-box transcription factor 2"
