"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Chromatin",0.5,-0.469047619047619,0.3,-0.306060606060606,0.438461538461538,-0.910077519379845,-0.408333333333333,-0.711764705882353,-0.757142857142857,0.406410256410256,-0.266666666666667,-0.576923076923077,-0.904166666666667,-0.379487179487179,0.693939393939394,-0.461261261261261,-0.744444444444444,0.525,-0.66078431372549,-0.561904761904762
"Chromosome",0.5,-0.469047619047619,0.3,-0.306060606060606,0.438461538461538,-0.910077519379845,-0.408333333333333,-0.711764705882353,-0.757142857142857,0.406410256410256,-0.266666666666667,-0.576923076923077,-0.904166666666667,-0.379487179487179,0.693939393939394,-0.461261261261261,-0.744444444444444,0.525,-0.66078431372549,-0.561904761904762
"Cis Regulatory Region Sequence Specific Dna Binding",0.67741935483871,-0.423225806451613,-0.473118279569892,0.491935483870968,-0.5,-0.728110599078341,-0.635483870967742,-0.838709677419354,0.588709677419355,0.741935483870968,-0.516129032258064,0.435897435897436,-0.423225806451613,-0.32258064516129,0.645161290322581,-0.677419354838709,-0.361629881154499,0.739130434782609,-0.761904761904761,0.586206896551724
"Cytokine Production",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Cytoskeletal Protein Binding",0.728571428571429,-0.633333333333333,-0.649593495934959,0.5,-0.552380952380952,-0.681818181818182,-0.683333333333333,-0.777551020408163,0.527906976744186,0.455555555555556,-0.679166666666667,0.666666666666667,-0.35891472868217,-0.828571428571429,-0.383333333333333,-0.396969696969697,0.466666666666667,-0.695238095238095,-0.60377358490566,-0.569230769230769
"Cytoskeleton Organization",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Cytosolic Transport",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Defense Response",-0.554901960784314,-0.575675675675676,0.278378378378378,-0.683333333333333,-0.466666666666667,-0.280645161290322,0.647619047619048,-0.566666666666667,-0.466666666666667,-0.348275862068965,0.691891891891892,0.444444444444445,0.425,0.450574712643678,0.356910569105691,-0.328205128205128,-0.259259259259259,0.485714285714286,0.633333333333333,0.585507246376812
"Developmental Growth",0.619318181818182,-0.6875,-0.90625,-0.715277777777778,-0.851102941176471,-0.55625,-0.84375,-0.798076923076923,-0.75,-0.479166666666667,0.9375,0.625,0.696022727272727,0.65625,0.9375,0.90625,0.80952380952381,0.514423076923077,0.729166666666667,0.625
"Dna Binding Transcription Factor Activity",0.406739811912226,-0.448275862068966,-0.484729064039409,-0.28448275862069,-0.53448275862069,-0.885579937304075,-0.570780399274047,-0.763756419662509,-0.496551724137931,0.497082228116711,-0.546110665597434,-0.434782608695652,-0.754990925589837,-0.299188640973631,0.565072302558398,-0.439655172413793,-0.661933739012846,0.508796622097115,-0.63825634352635,0.548387096774194
"Endocytosis",0.5625,0.6875,0.8125,0.84375,0.664402173913043,0.44375,0.40625,0.40625,0.625,0.84375,-0.8125,-0.761029411764706,-0.420454545454545,-0.4375,-0.6875,-0.772916666666667,-0.732142857142857,0.700892857142857,-0.6875,-0.727272727272727
"Endoplasmic Reticulum",-0.571847507331378,-0.866188769414575,0.709677419354839,0.67652329749104,-0.677419354838709,-0.761904761904761,-0.534562211981567,0.817836812144213,0.891891891891892,-0.419354838709677,0.719495091164095,-0.57685009487666,0.607142857142857,0.435483870967742,0.354838709677419,-0.470967741935484,-0.493951612903226,0.493951612903226,0.511166253101737,-0.408918406072106
"Enzyme Linked Receptor Protein Signaling Pathway",-0.574410163339383,0.310344827586207,-0.34685598377282,-0.561803713527852,0.813387423935091,0.557471264367816,-0.379310344827586,0.413793103448276,-0.71130713712911,-0.533468559837728,0.456551724137931,-0.474289171203872,-0.622938530734633,0.355761143818335,-0.397701149425288,0.457824933687003,0.54553492484527,0.724137931034483,0.517806670435274,0.367586206896552
"Enzyme Regulator Activity",-0.421052631578948,-0.342799188640974,0.220389805097451,0.279693486590038,-0.394088669950739,-0.511034482758621,-0.488726790450929,0.558109833971903,0.395348837209302,0.355761143818335,0.496551724137931,0.28551724137931,-0.422251138581653,-0.310344827586207,0.405363984674329,0.384902143522833,-0.702586206896552,0.342319749216301,0.528735632183908,0.321072796934866
"Epithelium Development",0.772727272727273,-0.447916666666667,0.3625,0.65,0.78125,-0.798076923076923,0.65625,-0.802083333333333,0.46875,0.71875,0.35,-0.650568181818182,-0.71875,0.5625,0.76875,-0.65625,-0.6875,0.772727272727273,-0.842105263157895,-0.625
"Establishment Of Protein Localization",0.550877192982456,0.399099099099099,-0.633333333333333,-0.338888888888889,-0.555555555555555,-0.866666666666667,-0.576923076923077,-0.686394557823129,-0.415686274509804,0.366666666666667,0.53921568627451,0.583333333333333,-0.411711711711712,0.69047619047619,-0.554263565891473,0.425641025641026,-0.742424242424242,-0.825,-0.571428571428571,-0.373809523809524
"Exocytic Vesicle",-0.4375,0.708333333333333,-0.802083333333333,-0.6375,0.53125,0.465277777777778,-0.400735294117647,0.690340909090909,-0.64,0.5375,0.473214285714286,0.607638888888889,0.6875,-0.53125,-0.71875,0.875,0.548387096774194,0.651785714285714,0.336309523809524,-0.715277777777778
"Extrinsic Component Of Membrane",-0.457142857142857,0.362428842504744,-0.362428842504744,-0.64516129032258,-0.757215619694397,-0.343010752688172,-0.5,-0.416422287390029,-0.630824372759856,-0.522273425499232,0.774193548387097,0.645161290322581,0.412186379928315,0.344086021505376,0.404233870967742,0.730715287517532,-0.526209677419354,-0.588709677419355,0.640067911714771,0.539170506912442
"G Protein Coupled Receptor Binding",0.661935483870968,0.512406947890819,0.463594470046083,0.705376344086021,0.388794567062818,-0.410557184750733,-0.666666666666666,-0.442396313364055,-0.354838709677419,0.645161290322581,-0.438030560271647,-0.602150537634408,0.490662139219015,0.32258064516129,0.512406947890819,-0.367511520737327,-0.53763440860215,0.318709677419355,-0.624787775891341,-0.592592592592592
"G Protein Coupled Receptor Signaling Pathway",0.707843137254902,0.466666666666667,0.405263157894737,0.576190476190476,0.347619047619048,0.438095238095238,-0.432432432432432,-0.3,-0.366666666666667,0.666666666666667,-0.495652173913043,-0.687878787878788,0.353191489361702,-0.333333333333333,0.710852713178295,-0.584496124031008,-0.45,0.247126436781609,-0.706451612903226,-0.598198198198198
"Gland Development",0.5625,0.6875,0.8125,0.78125,0.9375,0.766826923076923,0.40625,0.59375,0.46875,0.6875,-0.71875,-0.96875,-0.90625,-0.3125,-0.40625,-0.875,-0.59375,0.65625,-0.761904761904762,-0.842105263157895
"Glycerolipid Biosynthetic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Glycerolipid Metabolic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Glycerophospholipid Biosynthetic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Glycerophospholipid Metabolic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Golgi Apparatus",0.621551724137931,-0.55067920585162,-0.632183908045977,0.378694581280788,-0.387174833635814,-0.60536398467433,-0.557900154400412,-0.590100111234705,-0.482758620689655,-0.526286037309214,-0.674568965517241,0.689655172413793,-0.456745311554749,-0.416551724137931,-0.36067101584343,0.454361054766734,0.543766578249337,-0.620689655172414,-0.592592592592593,-0.543103448275862
"Golgi Apparatus Subcompartment",0.555178268251273,-0.536098310291858,-0.816226783968719,-0.387096774193548,-0.638186573670444,-0.838709677419354,-0.681818181818181,-0.874363327674023,-0.480533926585094,-0.421146953405018,-0.580645161290322,0.838709677419355,-0.432258064516129,-0.532258064516129,-0.442815249266862,-0.532258064516129,-0.548387096774193,-0.483870967741935,-0.653061224489796,-0.42803970223325
"Golgi Membrane",0.555178268251273,-0.536098310291858,-0.816226783968719,-0.387096774193548,-0.638186573670444,-0.838709677419354,-0.681818181818181,-0.874363327674023,-0.480533926585094,-0.421146953405018,-0.580645161290322,0.838709677419355,-0.432258064516129,-0.532258064516129,-0.442815249266862,-0.532258064516129,-0.548387096774193,-0.483870967741935,-0.653061224489796,-0.42803970223325
"Golgi To Endosome Transport",-0.625,-0.78125,-0.96875,-0.8125,-0.9375,-0.8125,-1,-1.03125,-0.53125,-0.53125,-0.59375,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.53125,-0.625,-0.53125,-0.53125
"Golgi Vesicle Transport",0.555178268251273,-0.536098310291858,-0.816226783968719,-0.387096774193548,-0.638186573670444,-0.838709677419354,-0.681818181818181,-0.874363327674023,-0.480533926585094,-0.421146953405018,-0.580645161290322,0.838709677419355,-0.432258064516129,-0.532258064516129,-0.442815249266862,-0.532258064516129,-0.548387096774193,-0.483870967741935,-0.653061224489796,-0.42803970223325
"Growth",-0.363636363636364,0.310344827586207,-0.44125159642401,-0.580762250453721,-0.420062695924765,-0.213624894869638,-0.432090077410275,0.425,-0.520525451559935,-0.316947909024211,0.655172413793103,0.46074834922964,-0.352635003253091,-0.310344827586207,0.372210953346856,0.580337490829054,-0.403735632183908,0.49094097019287,0.485480943738657,0.329153605015674
"Gtpase Activity",0.726973684210526,0.392857142857143,-0.625,-0.670955882352941,0.53125,-0.670955882352941,-0.571428571428571,-0.375,-0.75,0.59375,0.65625,0.46875,0.76875,0.5625,0.726973684210526,0.494047619047619,-0.40625,-0.84375,-0.870833333333333,0.625
"Guanyl Nucleotide Binding",0.726973684210526,0.392857142857143,-0.625,-0.670955882352941,0.53125,-0.670955882352941,-0.571428571428571,-0.375,-0.75,0.59375,0.65625,0.46875,0.76875,0.5625,0.726973684210526,0.494047619047619,-0.40625,-0.84375,-0.870833333333333,0.625
"Hydrolase Activity Acting On Acid Anhydrides",0.778225806451613,0.382003395585738,-0.486943164362519,-0.336559139784946,0.489872468117029,-0.690561529271206,0.490015360983103,-0.309677419354839,-0.64516129032258,0.612903225806452,0.603225806451613,0.554079696394687,0.560334528076464,0.548387096774194,0.471198156682028,0.490015360983103,-0.419354838709677,-0.6848635235732,-0.934408602150537,-0.387096774193548
"Identical Protein Binding",0.53125,-0.625448028673835,0.467741935483871,0.515151515151515,-0.580645161290322,-0.64516129032258,0.548387096774194,-0.682027649769585,0.467741935483871,-0.418242491657397,0.724193548387097,0.741935483870968,-0.387096774193548,0.695014662756598,0.438330170777989,0.708333333333333,-0.351501668520578,0.604004449388209,0.560483870967742,-0.492165898617511
"Immune Effector Process",0.515151515151515,-0.772916666666667,-0.78125,-0.798076923076923,-0.5,-0.396739130434783,-0.5,-0.90625,-0.53125,0.598214285714286,0.78125,0.71875,-0.4375,-0.59375,0.502083333333333,0.442307692307692,-0.5,0.71875,0.729779411764706,0.60875
"Immune Response",0.483687943262411,-0.293939393939394,-0.352873563218391,0.402083333333333,0.451515151515152,0.407317073170732,-0.533333333333333,-0.591666666666667,-0.433333333333333,-0.273333333333333,-0.365248226950354,-0.333333333333333,0.361904761904762,-0.697619047619048,0.491836734693878,-0.472222222222222,0.366666666666667,0.43921568627451,0.536363636363636,0.437037037037037
"Immune System Development",0.447368421052632,-0.403225806451613,-0.381336405529954,-0.416422287390029,0.726755218216319,-0.370967741935484,0.516129032258065,-0.757215619694397,-0.466501240694789,0.566820276497696,0.559907834101383,-0.451612903225806,-0.534562211981567,-0.32258064516129,0.438330170777989,-0.297043010752688,-0.605990783410138,0.67741935483871,-0.484848484848485,0.539170506912442
"Inflammatory Response",-0.606039807824296,-0.829151732377538,-0.513323983169705,-0.691935483870967,-0.575682382133995,-0.350967741935484,-0.516129032258064,-0.90524193548387,-0.45766129032258,0.493951612903226,0.806451612903226,-0.351501668520578,0.68,0.58765778401122,0.388794567062818,-0.350967741935484,0.399193548387097,0.68,0.621935483870968,0.704714640198511
"Intracellular Transport",0.555178268251273,-0.536098310291858,-0.816226783968719,-0.387096774193548,-0.638186573670444,-0.838709677419354,-0.681818181818181,-0.874363327674023,-0.480533926585094,-0.421146953405018,-0.580645161290322,0.838709677419355,-0.432258064516129,-0.532258064516129,-0.442815249266862,-0.532258064516129,-0.548387096774193,-0.483870967741935,-0.653061224489796,-0.42803970223325
"Intrinsic Component Of Plasma Membrane",0.258064516129032,0.68,-0.451612903225806,-0.544665012406948,0.483870967741936,0.663394109396914,0.618768328445748,0.560117302052786,-0.494134897360704,0.447477253928867,-0.728739002932551,-0.370967741935484,-0.439784946236559,-0.470967741935484,0.566666666666667,0.515151515151515,-0.387096774193548,0.32258064516129,-0.433304272013949,-0.52442396313364
"Kinase Binding",-0.470588235294117,0.5,0.4,0.297435897435897,0.294871794871795,0.278494623655914,-0.411904761904762,0.533333333333333,0.416666666666667,0.611764705882353,0.3875,-0.266666666666667,-0.3,-0.323809523809524,-0.660919540229885,0.435294117647059,-0.639784946236559,-0.491025641025641,0.324242424242424,-0.481395348837209
"Kinase Regulator Activity",-0.727272727272727,0.580645161290323,0.421744324970131,-0.470967741935484,0.588709677419355,0.33026113671275,0.58765778401122,0.73715651135006,-0.290322580645161,0.467741935483871,0.319243604004449,0.488479262672811,-0.709677419354838,-0.354838709677419,-0.672325976230899,-0.258064516129032,-0.833930704898446,0.452590420332356,0.441687344913151,0.424884792626728
"Leukocyte Cell Cell Adhesion",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
"Leukocyte Differentiation",0.447368421052632,-0.403225806451613,-0.381336405529954,-0.416422287390029,0.726755218216319,-0.370967741935484,0.516129032258065,-0.757215619694397,-0.466501240694789,0.566820276497696,0.559907834101383,-0.451612903225806,-0.534562211981567,-0.32258064516129,0.438330170777989,-0.297043010752688,-0.605990783410138,0.67741935483871,-0.484848484848485,0.539170506912442
"Lipid Biosynthetic Process",-0.8,0.614583333333333,0.542613636363636,-0.875,0.53125,0.459558823529412,0.875,0.65,-0.599431818181818,-0.71875,0.639705882352941,0.78125,-0.71875,-0.34375,-0.761029411764706,0.65,-0.760416666666667,-0.400735294117647,0.684027777777778,0.664402173913043
